,0,1
AADACL3:1:12785584,7.997189e-37,1.0
KLHDC7A:1:18810604,6.395862e-05,0.99993604
PAFAH2:1:26315944,0.008561755,0.99143827
TXNDC12:1:52490196,0.0019810055,0.998019
CDCP2:1:54610311,0.0062740576,0.99372596
STXBP3:1:109351992,0.010991597,0.9890084
SARS:1:109779922,0.0049581816,0.99504185
MYBPHL:1:109838867,0.0021282127,0.9978718
CHI3L2:1:111778739,0.030782897,0.9692171
ADCY10:1:167830192,0.00083111005,0.9991689
SLC19A2:1:169433395,0.0260043,0.9739957
ABL2:1:179084158,1.0,9.618614e-18
ELF3:1:201984356,0.20658274,0.7934173
CHI3L1:1:203148551,0.06039775,0.93960226
CR1:1:207760804,0.0002680203,0.99973196
OBSCN:1:228412192,0.0089298235,0.99107015
SPR:2:73115641,0.034180973,0.965819
MTHFD2:2:74441794,0.06529552,0.9347045
TCF7L1:2:85531055,0.0052465303,0.9947535
GYPC:2:127453576,3.663374e-05,0.99996334
ACVR1C:2:158389921,1.0,0.0
DYNC1I2:2:172582135,0.64390516,0.3560948
FSIP2:2:186660134,0.0029873357,0.9970127
TMEFF2:2:193059472,5.6914917e-07,0.9999994
HECW2:2:197080652,1.0,0.0
MAP2:2:210560866,0.8987767,0.101223275
OBSL1:2:220431709,0.00012059011,0.9998794
CHL1:3:423907,0.00085668237,0.9991433
SCN11A:3:38951598,0.07737264,0.92262733
STAB1:3:52553384,1.0,1.8233063e-16
STAB1:3:52554111,2.613716e-06,0.9999974
ROBO2:3:77637907,0.001033334,0.9989667
PLXND1:3:129294341,0.027119685,0.9728803
TMCC1:3:129373828,1.105531e-05,0.999989
C3orf55:3:157318087,1.0,0.0
WDR49:3:167319966,1.0,2.6365208e-28
IGF2BP2:3:185363404,1.0,3.9972946e-16
UVSSA:4:1374737,1.51938075e-05,0.9999848
HTT:4:3241630,0.0028705266,0.9971295
RBM47:4:40440515,0.008104663,0.9918953
LPHN3:4:62845476,0.0018932133,0.9981068
IBSP:4:88732921,0.00010068572,0.9998993
IL21:4:123542075,0.00014220332,0.9998578
FBXW7:4:153247366,0.008677931,0.99132204
SLC9A3:5:482829,4.0320174e-06,0.99999595
TRIP13:5:912052,0.013843255,0.98615676
CDH10:5:24487852,0.00015920543,0.9998408
APC:5:112175208,1.0,3.1576392e-29
FSTL4:5:132533782,0.0016401692,0.99835986
CD14:5:140011757,0.00908032,0.9909197
"PCDHA1,PCDHA2,PCDHA3,PCDHA4:5:140188695",0.0010252972,0.9989747
PCDHB14:5:140604459,0.00013030962,0.9998697
CPEB4:5:173383384,0.00037641154,0.9996236
RNF130:5:179393979,1.0,3.439391e-24
BTNL3:5:180432634,0.00022426112,0.99977577
E2F3:6:20493870,0.9998945,0.000105515355
PTCRA:6:42893048,1.0,2.7980457e-21
PTCRA:6:42893253,1.0,9.303285e-16
PTCRA:6:42893338,0.9965464,0.003453636
BAI3:6:70065716,0.99999994,3.1628325e-08
RIMS1:6:72967886,1.0,0.0
OOEP:6:74079426,9.02529e-11,1.0
COL12A1:6:75825632,0.006929263,0.9930707
FUT9:6:96656161,0.017556006,0.982444
CDK19:6:110948333,0.0006547252,0.9993453
TSPYL1:6:116598317,0.00011523207,0.9998848
SASH1:6:148855910,3.285767e-05,0.99996716
UNC93A:6:167709562,0.0,1.0
