,0,1
STPG1:1:24718113,0.42889225,0.57110775
MAST2:1:46494577,1.0,0.0
FAAH:1:46878892,1.0,0.0
TEX38:1:47137638,0.86873597,0.13126406
AMY2A:1:104162233,1.0,0.0
KIAA1324:1:109704553,0.1670464,0.8329536
CSDE1:1:115300648,0.9011627,0.09883731
FAM72B:1:120839661,1.0,0.0
PDE4DIP:1:144921835,1.0,0.0
FCRL5:1:157514168,0.42335442,0.5766456
ATP2B4:1:203669969,0.69212097,0.30787906
OR2M7:1:248487030,1.0,4.0653378e-10
FAM179A:2:29249739,0.003916227,0.9960838
SLC8A1:2:40656817,0.015167541,0.98483247
TET3:2:74326436,0.08349924,0.91650075
HK2:2:75119076,0.99704117,0.0029588563
KDM3A:2:86716560,0.82735527,0.1726447
SCN7A:2:167300026,0.06037665,0.93962336
DNAH7:2:196865488,1.0,6.381546e-10
COL6A3:2:238275403,0.09373214,0.9062679
LRRFIP2:3:37149583,1.0,1.1295698e-09
SCN10A:3:38835408,0.86467737,0.13532262
CCDC66:3:56591210,0.0038083775,0.9961916
PPP2R3A:3:135820940,0.2082847,0.7917153
CLSTN2:3:140284994,0.0004264504,0.9995735
SENP2:3:185348408,0.81874496,0.18125503
C4orf6:4:5527131,0.58637637,0.41362366
HTRA3:4:8295884,0.00039835155,0.99960166
BEND4:4:42145478,1.0,0.0
ALB:4:74274517,1.0,1.0665832e-30
SPARCL1:4:88416269,0.4701892,0.5298108
ENPEP:4:111464006,0.022308797,0.97769123
FAT4:4:126238739,0.0010686304,0.99893135
TTC29:4:147741348,0.9017609,0.098239094
SLC6A19:5:1216787,0.99999994,3.076268e-08
IL31RA:5:55210703,0.09438927,0.90561074
RGS7BP:5:63802531,0.3646846,0.6353154
APC:5:112164586,0.0001600943,0.9998399
ZNF608:5:123972949,0.9791502,0.020849844
KIF20A:5:137518092,0.0008453846,0.9991546
PCDHB7:5:140554630,1.0,5.142342e-38
ABLIM3:5:148577915,0.07775703,0.92224294
ELOVL2:6:11011008,0.837046,0.16295396
HIST1H2BO:6:27861272,0.97695225,0.02304775
DNAH8:6:38997985,0.102366656,0.8976333
DEFB113:6:49936461,0.033842526,0.9661575
EYS:6:66205230,0.003940183,0.99605983
COL12A1:6:75904564,0.025442902,0.9745571
CNR1:6:88849833,0.06360783,0.9363922
SOBP:6:107955722,0.21350063,0.7864994
